timestamp,Spotmarket_(EUR/kWh),Inflexible_Demand_(kWh),PV_energy_production_kWh,Heating_Demand_(kWh),ev_at_home_binary,distance_driven,ev_home_availability,weekday,Allowed_WM_summer,Allowed_dryer,feed_in_tariff,Total_Demand,Dishwasher_Start,Dishwasher_On,Washing_Machine_Start,Washing_Machine_On,Dryer_Start,Dryer_On,EV_SOC,EV_Charging,EV_On,Heatpump_Power,Unmet,EV_V2G,EV_V2H,PV2G,PV2H,Demand_Level,Penalty,Electricity_Cost,Total_Price,Revenue,Net_Price
2023-12-10 01:00:00,0.07503,0.0951235185327671,0.0,1.154076695,1,0.0,1.0,6,0,0,0.060024,8.481144748958908,0.0,0.0,0.0,0.0,0.0,0.0,11.613978754416792,8.38602123042614,1.0,0.0,8.481144748958908,0.0,0.0,0.0,0.0,1.0,0.012723217159101703,0.6363402905143869,0.6490635076734886,0.0,0.6490635076734886
2023-12-10 02:00:00,0.03681,0.1013634491616659,0.0,1.247330722,1,0.0,1.0,6,0,0,0.029448000000000002,12.101363451454244,0.0,0.0,0.0,0.0,0.0,0.0,19.99999998484293,9.999999998588356,1.0,2.0000000037042227,12.101363451454239,0.0,0.0,0.0,0.0,2.0,0.05089286863640681,0.44545118864803057,0.49634405728443737,0.0,0.49634405728443737
2023-12-10 03:00:00,0.026670000000000003,0.1004661744277871,0.0,1.322803496,1,0.0,1.0,6,0,0,0.021336000000000004,11.60046617252347,1.0,1.0,0.0,0.0,0.0,0.0,29.99999998343109,9.999999998095683,1.0,0.0,11.60046617252347,0.0,0.0,0.0,0.0,2.0,0.05089286863640681,0.309384432821201,0.3602773014576078,0.0,0.3602773014576078
2023-12-10 04:00:00,0.02312,0.10222290849126511,0.0,1.385018561,1,0.0,1.0,6,0,0,0.018496000000000002,15.144967011062729,0.0,1.0,0.0,0.0,0.0,0.0,39.99999998152677,9.999999998668637,1.0,3.542744103902826,15.144967011062723,0.0,0.0,0.0,0.0,3.0,0.11450895443191533,0.3501516372957702,0.46466059172768553,0.0,0.46466059172768553
2023-12-10 05:00:00,0.02875,0.11439888787912589,0.0,1.402455961,1,0.0,1.0,6,0,0,0.023000000000000003,11.614398885868072,0.0,1.0,0.0,0.0,0.0,0.0,49.999999980195405,9.999999997988946,1.0,0.0,11.614398885868072,0.0,0.0,0.0,0.0,2.0,0.05089286863640681,0.3339139679687071,0.3848068366051139,0.0,0.3848068366051139
2023-12-10 06:00:00,0.03982,0.1685917174285298,0.0,5.579795537,1,0.0,1.0,6,0,0,0.031856,12.168591719368127,0.0,0.0,0.0,0.0,0.0,0.0,59.99999997818435,9.999999998536818,1.0,2.0000000034027776,12.168591719368122,0.0,0.0,0.0,0.0,2.0,0.05089286863640681,0.4845533222652386,0.5354461909016455,0.0,0.5354461909016455
2023-12-10 07:00:00,0.08403000000000001,0.7169067914055015,0.0,5.058043269,1,0.0,1.0,6,0,0,0.067224,0.7169067914055015,0.0,0.0,0.0,0.0,0.0,0.0,69.99999997672117,0.0,0.0,0.0,0.7169067914055015,0.0,0.0,0.0,0.0,0.0,0.0,0.060241677681804294,0.060241677681804294,0.0,0.060241677681804294
2023-12-10 08:00:00,0.09209999999999999,0.4824129918034762,0.0048,0.624612599,1,0.0,1.0,6,1,1,0.07368,0.4824129918034762,0.0,0.0,0.0,0.0,0.0,0.0,69.99999997672117,0.0,0.0,0.0,0.47761299180347616,0.0,0.0,0.0,0.0048,0.0,0.0,0.043988156545100146,0.043988156545100146,0.0,0.043988156545100146
2023-12-10 09:00:00,0.09501000000000001,0.5526658989920326,0.1805399999999999,0.763138302,1,0.0,1.0,6,1,1,0.07600800000000002,3.5526658989920326,0.0,0.0,1.0,1.0,0.0,0.0,69.99999997672117,0.0,0.0,0.0,1.6860629532802363,0.0,1.6860629457118432,0.0,0.1805399999999999,0.0,0.0,0.16019284119115526,0.16019284119115526,0.0,0.16019284119115526
2023-12-10 10:00:00,0.095,1.2533789780322941,0.13701,0.170191672,1,0.0,1.0,6,1,1,0.07600000000000001,4.253378978032294,0.0,0.0,0.0,1.0,0.0,0.0,68.3139370310072,0.0,0.0,0.0,2.058184492915735,0.0,2.0581844851166045,0.0,0.13701,0.0,0.0,0.19552752682699484,0.19552752682699484,0.0,0.19552752682699484
