timestamp,Spotmarket_(EUR/kWh),Inflexible_Demand_(kWh),PV_energy_production_kWh,ev_at_home_binary,distance_driven,ev_home_availability,weekday,Allowed_WM_summer,Allowed_dryer,feed_in_tariff,Total_Demand,Dishwasher_Start,Dishwasher_On,Washing_Machine_Start,Washing_Machine_On,Dryer_Start,Dryer_On,EV_SOC,EV_Charging,EV_On,Unmet,Demand_Level,Penalty,Electricity_Cost,Total_Price,Revenue,Net_Price
2023-08-20 08:00:00,0.09189,0.5120997503853263,1.34334,1,0.0,1.0,6,1,1,0.07351200000000001,0.5120997503853263,-0.0,-0.0,-0.0,0.0,0.0,-0.0,46.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.796226133229674,-0.796226133229674
2023-08-20 09:00:00,0.07792,0.3085053437629686,1.65777,1,0.0,1.0,6,1,1,0.062336,0.3085053437629686,-0.0,0.0,0.0,0.0,0.0,-0.0,36.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6329080823810554,-0.6329080823810554
2023-08-20 10:00:00,0.06648,0.16905284087931688,1.9047,1,0.0,1.0,6,1,1,0.053184,3.169052840879317,0.0,-0.0,1.0,1.0,0.0,-0.0,27.196093416807884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0628298241499579e-16,-1.0628298241499579e-16
2023-08-20 11:00:00,0.03381,1.1719178055014825,1.97946,1,0.0,1.0,6,1,1,0.027048000000000003,14.171917805501483,0.0,-0.0,0.0,1.0,0.0,-0.0,25.931740575928565,10.0,1.0,12.192457805501483,2.0,0.05097931092829873,0.4122269984040052,0.4632063093323039,0.0,0.4632063093323039
2023-08-20 12:00:00,0.01388,0.16146101031733212,1.96707,1,0.0,1.0,6,1,1,0.011104000000000001,14.661461010317332,1.0,1.0,-0.0,0.0,1.0,1.0,35.931740575928565,10.0,1.0,12.694391010317318,2.0,0.05097931092829873,0.17619814722320437,0.2271774581515031,0.0,0.2271774581515031
2023-08-20 13:00:00,0.00657,0.1627561165327686,1.82508,1,0.0,1.0,6,1,1,0.005256,17.66275611653277,0.0,1.0,1.0,1.0,0.0,1.0,45.931740575928565,10.0,1.0,15.83767611653277,3.0,0.11470344958867215,0.10405353208562029,0.21875698167429244,0.0,0.21875698167429244
2023-08-20 14:00:00,0.00878,0.3831521582557414,1.5850799999999998,1,0.0,1.0,6,1,1,0.007024,14.328907732074683,0.0,1.0,0.0,1.0,-0.0,0.0,55.93174057592857,9.445755573818941,1.0,12.743827732074676,2.0,0.05097931092829873,0.11189080748761565,0.16287011841591437,0.0,0.16287011841591437
2023-08-20 15:00:00,0.019960000000000002,0.8067952621004852,1.21842,1,11.10344827586207,0.5,6,1,1,0.015968000000000003,8.806795262100486,0.0,0.0,0.0,0.0,1.0,1.0,65.37749614974751,5.0,1.0,7.588375262100481,1.0,0.012744827732074682,0.1514639702315256,0.1642087979636003,0.0,0.1642087979636003
2023-08-20 16:00:00,0.06124,0.10287240526667771,0.6987899999999999,1,0.0,1.0,6,1,1,0.04899200000000001,4.946065910691564,0.0,-0.0,0.0,-0.0,-0.0,1.0,68.15680649457511,1.8431935054248862,1.0,4.247275910691563,0.0,0.0,0.26010317677075134,0.26010317677075134,0.0,0.26010317677075134
2023-08-20 17:00:00,0.09231,0.14260324063969584,0.17964,1,0.0,1.0,6,1,1,0.07384800000000001,0.14260324063969584,-0.0,-0.0,-0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027350906052397415,-0.0027350906052397415
